#-------------------------------------------------------------------------------
#  Pi.Alert
#  Open Source Network Guard / WIFI & LAN intrusion detector 
#
#  IP_changes.log - Back module. Logfile for Internet IP changes
#-------------------------------------------------------------------------------
#  Puche 2021        pi.alert.application@gmail.com        GNU GPLv3
#-------------------------------------------------------------------------------

2021-01-01 00:00:00	0.0.0.0
2023-11-01 21:02:00	102.22.184.23
2023-11-04 18:15:00	102.22.186.148
2023-11-04 19:42:00	102.22.184.23
2023-11-07 09:39:00	41.186.78.233
2023-11-08 10:36:00	41.186.78.111
2023-11-08 14:15:00	102.22.186.148
2023-11-08 21:42:00	41.186.78.120
2023-11-09 09:45:00	41.186.78.210
2023-11-09 12:54:00	41.186.78.89
2023-11-10 11:54:00	197.243.110.74
2023-11-10 18:57:00	41.186.78.7
2023-11-11 13:54:00	41.186.78.146
2023-11-12 10:15:00	102.22.186.148
2023-11-12 20:51:00	41.186.78.143
2023-11-13 13:48:00	41.186.78.250
2023-11-14 20:00:00	41.186.78.196
2023-11-14 20:09:00	102.22.184.62
2023-11-16 10:33:00	41.186.78.49
2023-11-16 10:42:00	41.186.78.213
2023-11-16 10:45:00	41.186.78.151
2023-11-16 18:12:00	102.22.185.180
2023-11-17 00:00:00	41.186.78.155
2023-11-17 08:30:00	41.186.78.179
